compound_id	compound_name	evidence_source	evidence_note
cpd00119	L-Histidine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00120	Butyryl-CoA	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00121	L-Inositol	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00122	N-Acetyl-D-glucosamine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00123	3-Methyl-2-oxobutanoate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00124	3'-Phosphomononucleotide	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00125	5-10-Methylenetetrahydrofolate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00126	GMP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00127	Phenol	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00128	Adenine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00129	L-Proline	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00130	L-Malate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00131	Molybdenum	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00132	L-Asparagine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00133	Nicotinamide	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00134	Palmitoyl-CoA	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00135	Homocysteine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00136	4-Hydroxybenzoate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00137	Citrate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00138	D-Mannose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00139	Glycolate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00141	Propionate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00142	Acetoacetate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00143	Phenylpyruvate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00144	UDPglucuronate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00145	Hydroxypyruvate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00146	Carbamoylphosphate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00147	5-Methylthioadenosine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00148	5'-Phosphomononucleotide	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00149	Cobalt	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00150	Hydrogen cyanide	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00151	Thymine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00152	Agmatine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00153	Benzoate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00154	Xylose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00155	Glycogen	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00156	L-Valine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00157	Glycerone	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00158	D-Cellobiose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00159	L-Lactate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00160	Cholesterol	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00161	L-Threonine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00162	Aminoethanol	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00163	UDP-xylose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00164	Glucuronate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00165	Hydroxylamine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00166	Calomide	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00167	Ceramide	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00168	2,3-Dihydroxybenzoate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00169	3-Phosphoglycerate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00170	Gluconolactone	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00171	D-Ribulose5-phosphate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00172	Phenazine methosulfate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00173	NTP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00174	Isoflurophate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00175	UDP-N-acetyl-D-galactosamine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00176	2-keto-3-deoxygluconate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00177	dADP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00178	Acetone	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00179	Maltose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00180	Oxalate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00181	Cobamide	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00182	Adenosine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00183	Sarcosine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00184	Thymidine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00185	D-Arabinose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00186	D-Glutamate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00187	Methanamine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00188	Arachidonate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00189	Methylene blue	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00190	beta-D-Glucose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00191	3-Oxopropanoate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00192	4-Coumaroyl-CoA	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00193	APS	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00194	Methyl viologen	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
